nearend_speaker,nearend_wav_path,nearend_wav_path_noisy,farend_speaker,farend_wav_path,farend_wav_path_noisy,ser,is_farend_nonlinear,is_farend_noisy,is_nearend_noisy,split,fileid
reader_10994,clean_fileid_9078.wav,book_06671_chp_0006_reader_10994_38_L3GPuOONhdQ-9Iq_ak1M5Eg-2LZaLIlj3C0_snr20_fileid_9078.wav,reader_01301,clean_fileid_9985.wav,book_06321_chp_0003_reader_01301_27_T1io9bwgryk-AoG0OMBtaSI-58uM2XWeS1s_snr28_fileid_9985.wav,-7,1,1,1,test,0
reader_00389,clean_fileid_9436.wav,book_07113_chp_0012_reader_00389_32_Sq9E3qVd9eA-door_Freesound_validated_82558_13-vtIYiGiYn4Q_snr0_fileid_9436.wav,reader_07963,clean_fileid_5938.wav,book_04329_chp_0002_reader_07963_1_HNGxFvXSlTM-door_Freesound_validated_342694_0-door_Freesound_validated_263829_1_snr31_fileid_5938.wav,-6,0,1,1,test,1
reader_03783,clean_fileid_531.wav,book_05872_chp_0020_reader_03783_2_1KhahKUdqfU-pbXQi3iWKdc-b_C-fNIS8aI_snr26_fileid_531.wav,reader_11219,clean_fileid_2760.wav,book_10600_chp_0004_reader_11219_7_pyUdDAXkDNQ-4720VXHoWLM-Rk-UlVisx3E_snr6_fileid_2760.wav,6,1,1,0,test,2
reader_04645,clean_fileid_5447.wav,book_10306_chp_0023_reader_04645_1_tExLzEAohcg-7OxK7UvZ5S8-A9j2R-V4uGE_snr20_fileid_5447.wav,reader_02954,clean_fileid_6079.wav,book_02442_chp_0022_reader_02954_18_IzQYqtp5khQ-OYsNnNE_S04-NgfNcSjAACo_snr1_fileid_6079.wav,2,1,1,0,test,3
reader_08712,clean_fileid_11841.wav,book_10545_chp_0004_reader_08712_34_door_Freesound_validated_266825_0-L-ENJX7sKM4-1mQ2g2yeaMc_snr27_fileid_11841.wav,reader_04921,clean_fileid_7987.wav,book_02044_chp_0000_reader_04921_8__svi6yvJ3P4-KXZFUFUzT-4-GObQzInWWVw_snr6_fileid_7987.wav,3,1,0,0,test,4
reader_06592,clean_fileid_4566.wav,book_05767_chp_0015_reader_06592_9_cBRWG2XpkYs-_XKv9pV2UX4-lkk1KKNvzNI_snr4_fileid_4566.wav,reader_08078,clean_fileid_1937.wav,book_00077_chp_0008_reader_08078_2_fan_Freesound_validated_71692_6-ip9RgNs6tBo-7yfb05iMdkg_snr35_fileid_1937.wav,-4,0,1,0,test,5
reader_11329,clean_fileid_1468.wav,book_06051_chp_0008_reader_11329_7_door_Freesound_validated_450578_4-RikK_O9i6r8-Z4TbhQVUiug_snr32_fileid_1468.wav,reader_02994,clean_fileid_7674.wav,book_02690_chp_0026_reader_02994_1_yiFHrVunkoM-AaUO2igUpj0-N4gZK332IeU_snr12_fileid_7674.wav,-3,1,0,0,test,6
reader_02785,clean_fileid_2273.wav,book_05270_chp_0008_reader_02785_4_I_iZa40Ilrw-j8wE_NKCCws-L__-fmTiQuw_snr18_fileid_2273.wav,reader_11196,clean_fileid_641.wav,book_03148_chp_0030_reader_11196_11_door_Freesound_validated_425183_12-sH-eoQ6jnIQ-GXlDyzTX0Z4_snr21_fileid_641.wav,-8,1,1,0,test,7
reader_11196,clean_fileid_9626.wav,book_03148_chp_0030_reader_11196_9_6lC9OmpgkPc-bp7aAhJBGp0-XtHQOVetJ4g_snr3_fileid_9626.wav,reader_01384,clean_fileid_6448.wav,book_10401_chp_0002_reader_01384_8_-cNY6fbbldY-UY5O02GY2a4-saWGawFUTAI_snr26_fileid_6448.wav,9,1,1,1,test,8
reader_07356,clean_fileid_8392.wav,book_00691_chp_0004_reader_07356_20__kkzB7BA4Ek-door_Freesound_validated_165933_2-I86uc-WXHiw_snr9_fileid_8392.wav,reader_07725,clean_fileid_2160.wav,book_07113_chp_0006_reader_07725_2_ARR0-PoqnQg--wvktByeRmg-qwp58lN0YLA_snr17_fileid_2160.wav,-7,1,1,1,test,9
